District ID,Postal District,Postal Area,Reference PC,X (Easting),Y (Northing),Sprawl,Population,Households
1,AB10,AB,AB106HA,392949,805109,Aberdeen,21964,11517
2,AB11,AB,AB115QH,394404,805438,Aberdeen,21237,10926
3,AB12,AB,AB123LL,393407,800946,Aberdeen,25414,10688
4,AB13,AB,AB130EH,385705,801808,Milltimber,2725,947
5,AB14,AB,AB140LA,383616,801140,Peterculter,4881,2162
6,AB15,AB,AB158JX,390049,805243,Aberdeen,35543,15330
7,AB16,AB,AB165TY,390626,807657,Aberdeen,29238,12874
8,AB21,AB,AB210BG,388067,813514,Dyce,22181,9650
9,AB22,AB,AB228UD,392761,810671,Bridge of Don,16311,6978
10,AB23,AB,AB238BR,395127,813701,Bridge of Don,11143,4517
11,AB24,AB,AB243YS,393517,808107,Aberdeen,36343,16935
12,AB25,AB,AB252QT,393198,806862,Aberdeen,18407,9634
13,AB30,AB,AB301EL,371295,772929,Laurencekirk,7229,2935
14,AB31,AB,AB314BX,368583,797856,Banchory,15319,6096
15,AB32,AB,AB326XR,381041,806889,Westhill,12902,5011
16,AB33,AB,AB338NP,354926,815718,Alford,5273,2180
17,AB34,AB,AB345JQ,351095,801026,Aboyne,5387,2309
18,AB35,AB,AB355SX,329911,795471,Ballater,2624,1217
19,AB36,AB,AB368UT,335113,812134,Bellabeg,515,242
20,AB37,AB,AB379DL,320029,828039,Tomintoul,1534,678
21,AB38,AB,AB389SB,326474,844502,Charlestown of Aberlour,4660,2009
22,AB39,AB,AB393QA,387134,787598,Stonehaven,17645,7238
23,AB41,AB,AB419FG,394040,831277,Ellon,20837,8517
24,AB42,AB,AB423LE,406781,845456,Peterhead,33730,14367
25,AB43,AB,AB437AL,397495,862838,Fraserburgh,23998,10103
26,AB44,AB,AB441NJ,370725,864362,Macduff,4009,1794
27,AB45,AB,AB453AB,365669,862558,Banff,11130,4900
28,AB51,AB,AB515RY,375804,821933,Inverurie,34643,14152
29,AB52,AB,AB526LB,363355,828365,Insch,4758,1952
30,AB53,AB,AB538DU,376242,848707,Turriff,12613,5325
31,AB54,AB,AB546JN,354830,840805,Huntly,11367,5003
32,AB55,AB,AB555HT,340831,848264,Keith,9307,4097
33,AB56,AB,AB564DD,344483,865694,Buckie,14825,6515
34,DD1,DD,DD11PS,339910,730303,Dundee,13698,5414
35,DD2,DD,DD24DJ,336577,731337,Dundee,41802,19876
36,DD3,DD,DD38QF,339111,732816,Dundee,36725,18157
37,DD4,DD,DD48JG,342445,732560,Dundee,43845,20403
38,DD5,DD,DD53JN,347205,732292,Dundee,31984,14061
39,DD6,DD,DD68QZ,343309,727307,Tayport,9345,4149
40,DD7,DD,DD77BD,355772,734762,Carnoustie,12301,5240
41,DD8,DD,DD81PF,343110,751562,Forfar,29036,12987
42,DD9,DD,DD97QU,359638,762105,Brechin,10979,5029
43,DD10,DD,DD109ER,372746,762084,Montrose,21937,9949
44,DD11,DD,DD114JN,363292,742427,Arbroath,28916,13047
45,DG1,DG,DG13PF,299133,576807,Dumfries,26655,11981
46,DG2,DG,DG28PS,294522,575299,Dumfries,24342,10635
47,DG3,DG,DG34BQ,285859,595111,Thornhill,4814,2140
48,DG4,DG,DG46JP,276612,611178,Kirkconnel,4632,2040
49,DG5,DG,DG54QX,283666,560277,Dalbeattie,5245,2496
50,DG6,DG,DG64JX,268127,551009,Kirkcudbright,5188,2386
51,DG7,DG,DG72LU,271927,566178,Castle Douglas,12227,5555
52,DG8,DG,DG89DJ,239503,556588,Newton Stewart,12948,5923
53,DG9,DG,DG98LY,206496,557969,Stranraer,16349,7531
54,DG10,DG,DG109SF,308481,603588,Moffat,3947,1805
55,DG11,DG,DG112PJ,315370,580567,Lockerbie,13272,5814
56,DG12,DG,DG125HX,320042,566902,Annan,13145,5845
